Current name,Current field,units,,To keep?,New name,New field,New units,Resolution,Long. Lat,Eastings Northings,Location,Project,Parameter,SuDS/GI type,All,,Weather,Rainfall,Outflow (drain gauge),Soil moisture/VWC,Soil temperature,Soil electrical conductivity,Soil tension/pressure,Water depth,Runoff simulator,Rel Humidity,Air temperature,Barometric pressure,Evapotranspiration,Wind,Wind direction,Wind speed,Power,Solar radiation,PLEXUS,Swale,UGDaMS,CACTUS,ACHILLES,Biochar,City wide,Green roof,NGIF other,Lysimeter,Ensemble,Swale,Green roof,Cell A,Cell B
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp(2)_600,deg C,,Y,Ensemble F,,,,"54.974420, -1.625957",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp(2)_800,deg C,,Y,Ensemble F,,,,"54.974420, -1.625958",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp_200,deg C,,Y,Ensemble F,,,,"54.974420, -1.625959",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp_400,deg C,,Y,Ensemble F,,,,"54.974420, -1.625960",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp_600,deg C,,Y,Ensemble F,,,,"54.974420, -1.625961",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_SoilTemp_800,deg C,,Y,Ensemble F,,,,"54.974420, -1.625962",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Theta_200,%,,Y,Ensemble F,,,,"54.974420, -1.625963",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Theta_400,%,,Y,Ensemble F,,,,"54.974420, -1.625964",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Theta_600,%,,Y,Ensemble F,,,,"54.974420, -1.625965",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F3_Theta_800,%,,Y,Ensemble F,,,,"54.974420, -1.625966",,Ensemble F, ,Soil moisture (VWC),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),Pavement Runoff#@15m,ml,,Y,Ensemble F,,,,"54.974420, -1.625967",,Ensemble F, ,Outflow (drain gauge),Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),Power,V,,Y,Ensemble F,,,,"54.974420, -1.625968",,Ensemble F, ,Power,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-62 (Lysimeter 2),Drain gauge#@15m,ml,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Outflow (drain gauge),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 100 C,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 100 D,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 500 C,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 500 D,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 800 C,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),ECb 800 D,mS.m-1,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil electrical conductivity,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Power,V,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Power,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),SoilTemp 100 C,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
